[2022-07-06 16:06:07:0438] | Info     | Manager.cpp              -L4029: ---------------------Start call MvStereoAppCtrl.dll start--------------------
[2022-07-06 16:06:07:0438] | Info     | Manager.cpp              -L4033: Build Time[210514_10:28:03], SDK version[0x1030003].
[2022-07-06 16:06:07:0438] | Info     | Manager.cpp              -L4034: MvStereoAppCtrl.dll path [C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrl.dll]
[2022-07-06 16:06:07:0438] | Info     | Manager.cpp              -L4035: Current ExE path [C:\Users\user\Desktop\ConnectHik3DCamera\x64\Debug\ConnectCamera.exe]
[2022-07-06 16:06:07:0438] | Info     | Manager.cpp              -L4039: Config (C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrlCfg.ini) exist .
[2022-07-06 16:06:07:0438] | Info     | Manager.cpp              -L4046: DebugMode[0], nLogSize[100].
[2022-07-06 16:06:07:0438] | Info     | Manager.cpp              -L1686: [Init] Begin.
[2022-07-06 16:06:07:0457] | Info     | Manager.cpp              -L1751: [Init] LoadLaser3DAllFunctions success.
[2022-07-06 16:06:07:0461] | Info     | Manager.cpp              -L1786: [Init] end success.
[2022-07-06 16:06:07:0461] | Info     | Manager.cpp              -L0085: [BindDevice] begin.
[2022-07-06 16:06:07:0461] | Info     | Manager.cpp              -L1645: [CreateHandle] begin.
[2022-07-06 16:06:07:0461] | Info     | CameraModule.cpp         -L0440: [CreateHandle] begin.
[2022-07-06 16:06:07:0461] | Info     | CameraModule.cpp         -L0464: [CreateHandle] Get Gige Sdk version:(0x3040200).
[2022-07-06 16:06:07:0467] | Info     | CameraModule.cpp         -L0494: [CreateHandle] end success.
[2022-07-06 16:06:07:0467] | Info     | Manager.cpp              -L1679: [CreateHandle] end success.
[2022-07-06 16:06:07:0467] | Info     | Manager.cpp              -L0109: [BindDevice] bind device SN[00F94631315] Model[MV-DP2305-01H] ip[0xc0a801d6] SubNetmask[-256] gateway[-1062731266] AdapteIp[0xc0a8010b].
[2022-07-06 16:06:07:0467] | Info     | Manager.cpp              -L0112: [BindDevice] end success.
[2022-07-06 16:06:07:0467] | Info     | Manager.cpp              -L1535: [ConnectDevice] begin.
[2022-07-06 16:06:07:0774] | Info     | CameraModule.cpp         -L0664: [RegisterDwsVolumeEventInfoCallBack] begin.
[2022-07-06 16:06:07:0774] | Info     | CameraModule.cpp         -L0696: [RegisterDwsVolumeEventInfoCallBack] end success.
[2022-07-06 16:06:07:0774] | Info     | Manager.cpp              -L1589: [ConnectDevice] Success register DwsVolume Event.
[2022-07-06 16:06:07:0775] | Info     | Manager.cpp              -L1605: [ConnectDevice] Get m_nNodeCount value[3].
[2022-07-06 16:06:07:0775] | Info     | Manager.cpp              -L1621: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\VolumeMeasureSDK\Runtime\Win64_x64\MvStereoAppCtrlCfg.ini\BufferNode, value[30].
[2022-07-06 16:06:07:0775] | Info     | Manager.cpp              -L1635: [ConnectDevice] success connect the camera(00F94631315) Model(MV-DP2305-01H) version(V1.1.0 210320 597852) ip(0xc0a801d6) ip type(5) AdaptIp(0xc0a8010b).
[2022-07-06 16:06:07:0775] | Info     | Manager.cpp              -L1638: [ConnectDevice] end success.
[2022-07-06 16:06:11:0266] | Info     | Manager.cpp              -L1940: [MV_STA_Start] begin.
[2022-07-06 16:06:11:0267] | Info     | Manager.cpp              -L6098: [IsHFRProfileMode] Get Device3DCamerainfo Value:[16843008], nRet:[0].
[2022-07-06 16:06:11:0267] | Info     | Manager.cpp              -L6112: [IsHFRProfileMode] Get ImageMode, Value:[4], nRet:[0].
[2022-07-06 16:06:11:0267] | Info     | Manager.cpp              -L6120: [IsHFRProfileMode] this camera is HFR and imagemode is pointcloud mode.
[2022-07-06 16:06:11:0267] | Info     | Manager.cpp              -L5689: [InitAlgorithm] begin.
[2022-07-06 16:06:11:0267] | Info     | Manager.cpp              -L5490: [LoadCalHfrConfig] begin.
[2022-07-06 16:06:11:0267] | Info     | Manager.cpp              -L5292: [LoadArithInfo] pstAbility->modu_enable value[255].
[2022-07-06 16:06:11:0267] | Info     | Manager.cpp              -L5296: [LoadArithInfo] pstAbility->max_img_size.width value[2048].
[2022-07-06 16:06:11:0267] | Info     | Manager.cpp              -L5297: [LoadArithInfo] pstAbility->max_img_size.height value[1152].
[2022-07-06 16:06:11:0268] | Info     | Manager.cpp              -L5313: [LoadArithInfo] pstAbility->max_scan_rows value[500].
[2022-07-06 16:06:11:0269] | Info     | Manager.cpp              -L5327: [LoadArithInfo] pstAbility->max_x_range value[50000].
